img/who/who1.jpg,who,Also wrote The Side of Paradise,J.K. Rowling,J.D. Salinger,Dr. Seuss,F-Scott-Fritzgerald,4
img/who/who2.jpg,who,Sounds like salad,Lee salinmanju,J.K. Rowling,J.D. Salinger,F-Scott-Fritzgerald,3
img/who/who3.jpg,who,Also creator of Bambi and Mary Poppins,Matt Groening,Dan Harmon,Walt Disney,Hayou Miyazaki,3
img/who/who4.jpg,who,First pioneer of ASMR filmmaking and Pop art,Vincent Van Gogh,Andy Warhol,Salvador Dali,Jean-Michel Basquiat,2
img/who/who5.jpg,who,Played in your favorite superhero movies,Stan Lee,Robert Frank,Tyler Durden,Lary King,1
img/who/who6.jpg,who,Voice actor for Rick,Tara Strong's voice,Justin Roiland's voice,Jim Cumming's voice,Mark Hamil's voice,2
img/who/who7.jpg,who,Use your imagination,Walt Disney,Henry Ford,Tom Ford,Ralph Lauren,1
img/who/who8.jpg,who,Tom Hanks,Leonardo Davicinci painted this,Benjamin Franklin painted this,Franklin D Roosevelt painted this,Ulysses S. Grant painted this,1
img/who/who9.jpg,who,Also plays John Wick,Keanu Reeves played Neo,Tom Brady played Neo,Tom Cruise played Neo,Jerry Springer played Neo,1
img/who/who10.jpg,who,Also wrote the Cuckoo's Calling,Daniel Handler wrote the Harry Potter series,J.K. Rowling wrote the Harry Potter series,Mark Twain wrote the Harry Potter series,Ernest Hemingway wrote the Harry Potter series,2
img/who/who11.jpg,who,Directed the film Rushmore,Wes Anderson,Steven Spielberg,Hype Williams,Sigmund Freud ,1
img/who/who12.jpg,who,Also wrote The Little Shop of Monsters,Shel Silverstein was the creator of Arthur,Eric Carlewas the creator of Arthur,Marc Brown was the creator of Arthur,Roald Dahl was the creator of Arthur,3
img/who/who13.jpg,who,Ryan Gosling played him in the movie First Man,Albert Einstein was the first man on the moon,Lance Armstrong was the first man on the moon,Michael Collins was the first man on the moon,Edwin Eugene Aldrin Jr. was the first man on the moon,1
